id,authoring_tool,cad_doctype,plm_doctype,obsolete,ordering
1,SolidWorks,FOLDER,Folder,0,0
2,SolidWorks,SLDDTB,CadDesignTable,0,15
3,SolidWorks,SLDPRT,CadPart,0,30
4,SolidWorks,SLDDRW,CadDrawing,0,10
5,SolidWorks,SLDASM,CadAssembly,0,20
6,SolidEdge,FOLDER,Folder,0,40
7,SolidEdge,DFT,CadDrawing,0,50
8,SolidEdge,EDGEDTB,CadDesignTable,0,60
9,SolidEdge,ASM,CadAssembly,0,70
10,SolidEdge,PAR,CadPart,0,80
11,NX,NXASM,CadAssembly,0,90
12,NX,NXPRT,CadPart,0,100
13,NX,NXDRW,CadDrawing,0,110
14,NX,NXDTB,CadDesignTable,0,120
15,NX,FOLDER,Folder,0,130
16,Catia,CATPRODUCT,CadAssembly,0,160
17,Catia,CATPART,CadPart,0,170
18,Catia,CATDRAWING,CadDrawing,0,180
19,Catia,CATDTB,CadDesignTable,0,190
20,Catia,FOLDER,Folder,0,200
21,Creo,ASM,CadAssembly,0,210
22,Creo,PRT,CadPart,0,220
23,Creo,DRW,CadDrawing,0,230
24,Creo,CREODTB,CadDesignTable,0,240
25,Creo,FOLDER,Folder,0,250
