id,parent_state,children_state,obsolete
Id_00001,preliminary,approved,0
Id_00002,preliminary,preliminary,0
Id_00003,approved,approved,0
Id_00004,obsolete,obsolete,0
Id_00005,obsolete,approved,0
Id_00006,obsolete,preliminary,0
Id_00007,frozen,frozen,0
Id_00008,frozen,obsolete,0
Id_00009,frozen,approved,0
Id_00010,frozen,preliminary,0
Id_00011,dead,dead,0
Id_00012,dead,frozen,0
Id_00013,dead,obsolete,0
Id_00014,dead,approved,0
Id_00015,dead,preliminary,0
Id_00016,approved,created,0
Id_00017,preliminary,created,0
Id_00018,obsolete,created,0
