id,label,obsolete
Workspace,Workspace,0
Project,Project,0
CmPr,CmPr,0
CmEcr,CmEcr,0
CmEco,CmEco,0
BomPart,BomPart,0
BomPackaging,BomPackaging,0
BomProduct,BomProduct,0
BomSpecification,BomSpecification,0
BomTool,BomTool,0
BomCustomerProduct,BomCustomerProduct,0
BomManufacturerPart,BomManufacturerPart,0
CadAssembly,CadAssembly,0
CadPart,CadPart,0
CadDrawing,CadDrawing,0
CadDesignTable,CadDesignTable,0
File,File,0
Note,Note,0
Picture,Picture,0
Video,Video,0
Audio,Audio,0
ProductValidation,ProductValidation,0
ProductVerification,ProductVerification,0
ProductionProcessValidation,ProductionProcessValidation,0
ProductionPartApprovalProcess,ProductionPartApprovalProcess,0
